Word	Index	Count
sense	492	571
sounds	491	572
seem	487	573
husband	487	574
seven	486	575
glad	485	576
started	482	577
feeling	482	578
figure	481	579
months	480	580
between	477	581
fight	476	582
news	474	583
ship	473	584
frank	471	585
scared	471	586
hot	469	587
c	468	588
safe	467	589
fun	466	590
lady	466	591
city	464	592
outside	463	593
w	460	594
street	459	595
brought	459	596
also	458	597
lose	457	598
happens	456	599
bullshit	456	600
country	455	601
bill	455	602
cool	454	603
asking	451	604
dog	450	605
sent	449	606
weren't	449	607
free	449	608
write	449	609
promise	445	610
moment	444	611
plan	442	612
living	441	613
front	439	614
'cause	439	615
able	438	616
girls	435	617
himself	433	618
sound	433	619
light	431	620
bitch	430	621
somewhere	430	622
save	430	623
here's	428	624
shall	428	625
harry	426	626
cold	424	627
needs	421	628
goin'	418	629
president	418	630
sister	416	631
tired	416	632
weeks	414	633
poor	411	634
child	410	635
leaving	409	636
children	409	637
its	408	638
beat	407	639
lucky	407	640
wonderful	406	641
york	404	642
lie	402	643
pull	400	644
movie	399	645
till	399	646
fast	398	647
mister	398	648
lives	397	649
cause	396	650
c'mon	396	651
air	396	652
sex	394	653
taken	394	654
touch	392	655
straight	392	656
small	391	657
worth	391	658
mary	390	659
piece	389	660
ha	389	661
calling	389	662
worked	388	663
control	388	664
kidding	387	665
luck	387	666
hair	386	667
follow	386	668
thinks	384	669
buddy	384	670
possible	383	671
daughter	382	672
h	382	673
we'd	381	674
expect	381	675
looked	380	676
food	379	677
explain	378	678
words	377	679
playing	376	680
picture	375	681
rather	375	682
an'	375	683
they've	374	684
nine	373	685
known	372	686
special	372	687
none	372	688
coffee	371	689
ride	371	690
certainly	370	691
yo	369	692
order	369	693
king	368	694
hospital	368	695
clear	366	696
dream	365	697
learn	364	698
questions	364	699
catch	363	700
human	360	701
perfect	360	702
miles	358	703
wonder	357	704
red	357	705
top	356	706
l	354	707
besides	353	708
law	353	709
mouth	353	710
company	352	711
he'd	351	712
except	350	713
sam	350	714
parents	349	715
works	349	716
drop	348	717
worse	347	718
outta	346	719
general	346	720
tom	346	721
how'd	345	722
hang	345	723
absolutely	344	724
y	343	725
joe	341	726
date	340	727
hotel	340	728
act	339	729
sign	339	730
accident	336	731
sweet	335	732
interested	334	733
meeting	333	734
doin'	332	735
handle	332	736
swear	331	737
seeing	331	738
state	330	739
past	330	740
throw	330	741
mad	329	742
takes	329	743
eh	328	744
secret	328	745
dark	323	746
major	323	747
yesterday	322	748
charlie	322	749
what'd	321	750
unless	320	751
others	319	752
worried	319	753
simple	319	754
fault	318	755
report	318	756
talked	318	757
felt	318	758
smart	317	759
she'll	316	760
giving	316	761
cops	316	762
cop	315	763
clean	315	764
hurry	315	765
loved	315	766
goodbye	314	767
careful	314	768
ray	314	769
blow	313	770
david	313	771
boss	313	772
walter	312	773
less	310	774
information	308	775
bob	308	776
strange	307	777
terrible	307	778
paul	307	779
wear	306	780
fucked	306	781
quiet	306	782
choice	305	783
f	305	784
feet	305	785
p	304	786
mistake	304	787
class	303	788
busy	303	789
cannot	302	790
hasn't	302	791
finish	302	792
plane	301	793
ben	301	794
fall	300	795
clothes	299	796
music	298	797
quit	297	798
e	297	799
lying	296	800
moving	296	801
ma	294	802
michael	294	803
rose	294	804
um	293	805
changed	292	806
darling	292	807
lord	292	808
paid	291	809
meant	291	810
caught	291	811
bank	291	812
chief	290	813
road	289	814
figured	288	815
american	288	816
army	288	817
anywhere	288	818
turned	288	819
early	287	820
twelve	286	821
near	285	822
ought	285	823
difference	285	824
marry	284	825
happening	284	826
nothin'	284	827
fair	283	828
given	282	829
honor	282	830
dude	282	831
nick	282	832
agent	280	833
forty	280	834
earth	280	835
apartment	280	836
sake	280	837
jimmy	280	838
welcome	279	839
kinda	279	840
favor	279	841
interesting	279	842
eye	279	843
liked	278	844
lunch	278	845
middle	278	846
broke	277	847
jim	276	848
blue	276	849
tough	275	850
trip	275	851
personal	275	852
r	274	853
record	273	854
james	273	855
peter	273	856
kiss	272	857
watching	272	858
imagine	272	859
murder	272	860
bye	272	861
ones	271	862
rich	271	863
relax	271	864
kept	271	865
evening	271	866
month	270	867
wake	270	868
stick	270	869
boat	270	870
building	269	871
weird	269	872
dick	269	873
private	268	874
win	268	875
paper	268	876
become	267	877
system	267	878
honest	267	879
fifteen	267	880
dance	266	881
tv	266	882
store	266	883
born	264	884
calls	264	885
sell	264	886
wow	263	887
asshole	262	888
drunk	261	889
uncle	260	890
killing	260	891
ma'am	260	892
johnny	260	893
history	259	894
certain	258	895
bucks	258	896
longer	258	897
future	258	898
mama	258	899
message	256	900
finally	256	901
cash	255	902
max	255	903
sitting	254	904
radio	253	905
floor	252	906
fool	251	907
officer	251	908
letter	250	909
'bout	249	910
problems	249	911
forgot	249	912
g	249	913
english	249	914
j	249	915
involved	248	916
respect	248	917
bastard	248	918
brain	248	919
eddie	247	920
books	247	921
needed	247	922
realize	246	923
land	246	924
service	246	925
dangerous	246	926
o'clock	246	927
completely	245	928
bag	245	929
n	245	930
what're	244	931
afternoon	244	932
likes	243	933
upset	243	934
count	243	935
appreciate	243	936
slow	243	937
de	243	938
offer	243	939
nervous	242	940
pleasure	241	941
spend	241	942
situation	241	943
calm	241	944
short	240	945
key	240	946
wearing	239	947
security	239	948
picked	239	949
jake	239	950
jail	238	951
finished	238	952
neither	237	953
window	237	954
third	237	955
suit	237	956
quick	236	957
list	236	958
owe	235	959
grand	235	960
ice	234	961
bother	234	962
bought	233	963
pain	233	964
forgive	233	965
court	233	966
deep	232	967
ring	232	968
lawyer	232	969
somethin'	232	970
voice	232	971
lived	231	972
man's	231	973
stopped	230	974
carry	230	975
space	230	976
ran	230	977
join	229	978
fix	229	979
missed	228	980
killer	228	981
wrote	228	982
christmas	228	983
k	227	984
pictures	227	985
tape	227	986
hungry	227	987
doubt	227	988
across	226	989
staying	226	990
station	225	991
hardly	225	992
team	225	993
machine	224	994
lots	224	995
college	224	996
joke	224	997
pass	224	998
eve	224	999
driving	223	1000
truck	223	1001
fly	223	1002
table	223	1003
gotten	222	1004
step	222	1005
attack	221	1006
prove	220	1007
totally	219	1008
evil	219	1009
decided	219	1010
surprise	218	1011
missing	217	1012
age	217	1013
bar	217	1014
strong	216	1015
cover	216	1016
dying	216	1017
charge	216	1018
putting	215	1019
hadn't	215	1020
they'd	214	1021
lieutenant	214	1022
holy	213	1023
bunch	213	1024
named	212	1025
fat	212	1026
present	211	1027
return	211	1028
dress	210	1029
one's	209	1030
computer	208	1031
saved	208	1032
box	208	1033
french	207	1034
movies	207	1035
island	207	1036
detective	207	1037
enjoy	207	1038
dreams	207	1039
seconds	207	1040
instead	206	1041
club	206	1042
where'd	206	1043
beer	206	1044
smell	206	1045
awful	206	1046
mark	206	1047
listening	205	1048
gives	205	1049
silly	205	1050
mike	205	1051
horse	204	1052
lead	204	1053
church	204	1054
moved	204	1055
usually	203	1056
train	203	1057
standing	203	1058
price	202	1059
gold	202	1060
test	202	1061
public	201	1062
ball	201	1063
reach	201	1064
force	200	1065
card	200	1066
board	200	1067
stuck	200	1068
ted	199	1069
papers	199	1070
protect	199	1071
fish	199	1072
fear	198	1073
starting	198	1074
prison	198	1075
reading	198	1076
guy's	198	1077
dumb	198	1078
lock	198	1079
rock	197	1080
wedding	197	1081
cost	196	1082
talkin'	196	1083
doc	196	1084
gentlemen	196	1085
star	196	1086
ed	196	1087
teach	195	1088
department	195	1089
birthday	195	1090
type	194	1091
admit	194	1092
interest	194	1093
gimme	194	1094
crap	193	1095
sun	193	1096
idiot	193	1097
art	192	1098
beginning	192	1099
nose	192	1100
wondering	192	1101
louis	192	1102
walking	191	1103
billy	191	1104
bus	191	1105
promised	191	1106
pardon	190	1107
single	190	1108
hide	190	1109
west	189	1110
plenty	189	1111
y'know	189	1112
partner	188	1113
peace	187	1114
especially	187	1115
park	187	1116
father's	187	1117
ways	186	1118
folks	186	1119
film	186	1120
low	186	1121
impossible	186	1122
master	186	1123
fired	186	1124
forever	185	1125
crime	185	1126
asleep	185	1127
nuts	185	1128
mess	185	1129
loves	185	1130
wall	184	1131
re	183	1132
whose	183	1133
planet	183	1134
bomb	183	1135
soul	183	1136
self	182	1137
acting	182	1138
whether	182	1139
spent	182	1140
memory	182	1141
entire	182	1142
plans	182	1143
animal	182	1144
	182	1145
cute	181	1146
twice	181	1147
south	181	1148
evidence	181	1149
cat	181	1150
knock	181	1151
orders	181	1152
holding	180	1153
won	180	1154
attention	180	1155
guns	180	1156
pal	180	1157
using	180	1158
feels	180	1159
blame	180	1160
mission	179	1161
agree	179	1162
visit	179	1163
girlfriend	179	1164
green	179	1165
smoke	179	1166
double	179	1167
pop	179	1168
records	179	1169
position	178	1170
angry	178	1171
america	178	1172
aw	178	1173
notice	178	1174
surprised	178	1175
arm	178	1176
share	177	1177
normal	177	1178
mention	177	1179
gee	177	1180
jerry	177	1181
judge	176	1182
tommy	176	1183
grow	176	1184
sid	176	1185
dollar	175	1186
fighting	175	1187
press	175	1188
lovely	175	1189
writing	175	1190
broken	174	1191
bridge	174	1192
ourselves	174	1193
colonel	174	1194
boyfriend	173	1195
ridiculous	173	1196
cross	173	1197
name's	173	1198
glass	173	1199
al	173	1200
god's	173	1201
van	173	1202
address	172	1203
bathroom	172	1204
definitely	172	1205
paris	172	1206
upstairs	172	1207
experience	171	1208
drugs	171	1209
walked	171	1210
betty	170	1211
everything's	170	1212
tells	169	1213
difficult	169	1214
sing	169	1215
field	169	1216
breakfast	169	1217
charles	169	1218
yah	169	1219
la	169	1220
fell	168	1221
often	168	1222
nobody's	168	1223
correct	168	1224
marriage	168	1225
stole	168	1226
sad	168	1227
closed	168	1228
sheriff	168	1229
sleeping	167	1230
bobby	167	1231
keeps	167	1232
during	166	1233
summer	166	1234
brothers	166	1235
wind	166	1236
she'd	165	1237
hole	165	1238
government	165	1239
grace	165	1240
andy	165	1241
group	164	1242
sea	164	1243
kick	164	1244
laugh	164	1245
proud	164	1246
dirty	164	1247
river	164	1248
fit	163	1249
mother's	163	1250
neck	163	1251
fellow	163	1252
ground	163	1253
aye	163	1254
locked	162	1255
favorite	162	1256
don	162	1257
nah	162	1258
lay	162	1259
gas	162	1260
amazing	162	1261
names	162	1262
rid	161	1263
sweetheart	161	1264
steal	161	1265
beach	161	1266
goodnight	161	1267
jeffrey	161	1268
north	160	1269
built	160	1270
keeping	160	1271
advice	159	1272
gettin'	159	1273
heaven	159	1274
jump	159	1275
worst	158	1276
accept	158	1277
learned	158	1278
code	158	1279
st	157	1280
runs	157	1281
dunno	157	1282
professor	157	1283
note	157	1284
heh	157	1285
places	156	1286
contact	156	1287
file	156	1288
loose	156	1289
plus	156	1290
round	156	1291
lee	156	1292
obviously	155	1293
witness	155	1294
area	155	1295
pulled	155	1296
song	155	1297
played	155	1298
crew	154	1299
arrest	154	1300
beg	154	1301
lately	154	1302
nurse	154	1303
bruce	154	1304
command	153	1305
consider	153	1306
waste	153	1307
seriously	153	1308
somehow	153	1309
stories	153	1310
feelings	153	1311
alex	153	1312
seemed	152	1313
rules	152	1314
copy	152	1315
sooner	152	1316
er	152	1317
taste	152	1318
bird	152	1319
admiral	151	1320
henry	151	1321
tight	151	1322
fbi	151	1323
jeff	151	1324
study	150	1325
danger	150	1326
insane	150	1327
scene	150	1328
apologize	150	1329
ho	150	1330
decide	149	1331
forward	149	1332
heavy	149	1333
relationship	149	1334
weekend	149	1335
showed	149	1336
whoa	149	1337
keys	149	1338
eating	148	1339
innocent	148	1340
carl	148	1341
sixty	148	1342
that'll	148	1343
gift	148	1344
shoes	147	1345
level	147	1346
spot	147	1347
foot	146	1348
blind	146	1349
faith	146	1350
raise	146	1351
split	146	1352
account	146	1353
seventy	146	1354
washington	146	1355
begin	146	1356
patient	146	1357
percent	145	1358
san	145	1359
hanging	145	1360
tie	145	1361
data	145	1362
dont	145	1363
herself	144	1364
noticed	144	1365
nope	144	1366
action	144	1367
wild	144	1368
murdered	144	1369
teeth	143	1370
risk	143	1371
tree	143	1372
games	143	1373
monster	143	1374
ticket	143	1375
leg	143	1376
buzz	143	1377
discuss	142	1378
track	142	1379
willing	142	1380
knowing	142	1381
dropped	142	1382
hmm	142	1383
senator	142	1384
chicken	141	1385
build	141	1386
within	141	1387
concerned	141	1388
cup	141	1389
harold	141	1390
due	140	1391
onto	140	1392
curious	140	1393
commander	140	1394
warm	140	1395
lied	139	1396
empty	139	1397
apart	139	1398
dave	139	1399
program	139	1400
could've	139	1401
wh	139	1402
terrific	139	1403
sold	138	1404
lookin'	138	1405
drinking	138	1406
duty	138	1407
hiding	138	1408
credit	138	1409
losing	138	1410
guard	138	1411
hall	138	1412
medical	138	1413
	138	1414
marty	138	1415
camp	138	1416
meaning	137	1417
checked	137	1418
television	137	1419
dig	137	1420
comin'	137	1421
ex	136	1422
burn	136	1423
nature	136	1424
career	136	1425
flight	136	1426
turns	136	1427
form	136	1428
perfectly	136	1429
lloyd	136	1430
extra	135	1431
cry	135	1432
emergency	135	1433
destroy	135	1434
california	135	1435
trick	135	1436
beyond	135	1437
speaking	135	1438
opinion	134	1439
000	134	1440
trial	134	1441
taught	134	1442
color	134	1443
robert	134	1444
brown	134	1445
cab	134	1446
stone	134	1447
possibly	134	1448
im	134	1449
eleven	133	1450
suspect	133	1451
screw	133	1452
push	133	1453
shooting	133	1454
shop	133	1455
afford	133	1456
seat	133	1457
norman	133	1458
hero	132	1459
condition	132	1460
ugly	132	1461
common	132	1462
personally	132	1463
bud	132	1464
liar	132	1465
would've	131	1466
following	131	1467
majesty	131	1468
rob	131	1469
greatest	131	1470
rough	131	1471
numbers	131	1472
excellent	131	1473
passed	131	1474
martin	131	1475
proof	131	1476
science	131	1477
cars	131	1478
indeed	130	1479
held	130	1480
training	130	1481
cheap	130	1482
recognize	130	1483
thomas	130	1484
post	130	1485
tea	130	1486
fella	130	1487
mm	130	1488
richard	130	1489
jason	130	1490
complete	129	1491
paying	129	1492
bear	129	1493
horrible	129	1494
yep	129	1495
wine	129	1496
rule	129	1497
its	129	1498
queen	128	1499
insurance	128	1500
grab	128	1501
view	128	1502
corner	128	1503
pack	128	1504
dogs	128	1505
deserve	128	1506
desk	128	1507
matters	128	1508
youre	128	1509
scare	127	1510
band	127	1511
legs	127	1512
why'd	127	1513
camera	127	1514
comfortable	127	1515
large	127	1516
hired	127	1517
subject	127	1518
famous	126	1519
kitchen	126	1520
drug	126	1521
mommy	126	1522
hoping	126	1523
bigger	126	1524
excited	126	1525
oil	126	1526
conversation	125	1527
letters	125	1528
quickly	125	1529
lights	125	1530
feed	125	1531
nowhere	124	1532
otherwise	124	1533
mostly	124	1534
responsible	124	1535
vacation	124	1536
natural	124	1537
beauty	124	1538
sugar	124	1539
pants	124	1540
helped	124	1541
weather	124	1542
roll	124	1543
saturday	123	1544
heat	123	1545
decision	123	1546
page	123	1547
2	123	1548
lonely	123	1549
damned	123	1550
madame	123	1551
airport	123	1552
breath	123	1553
grant	123	1554
depends	122	1555
familiar	122	1556
hearing	122	1557
heads	122	1558
ideas	122	1559
sue	122	1560
treat	122	1561
junior	122	1562
sometime	122	1563
scott	122	1564
thou	122	1565
luke	122	1566
dry	121	1567
older	121	1568
cares	121	1569
simply	121	1570
search	121	1571
carrying	121	1572
theory	121	1573
30	121	1574
skin	121	1575
practice	121	1576
crash	121	1577
spoke	121	1578
guilty	121	1579
ann	121	1580
pool	120	1581
east	120	1582
settle	120	1583
states	120	1584
congratulations	120	1585
pounds	120	1586
annie	120	1587
vegas	120	1588
prefer	119	1589
whoever	119	1590
remind	119	1591
weapons	119	1592
naw	119	1593
main	119	1594
lake	119	1595
ear	119	1596
aunt	119	1597
magic	119	1598
pig	118	1599
enemy	118	1600
shows	118	1601
roger	118	1602
fill	118	1603
v	118	1604
size	118	1605
usual	118	1606
suicide	118	1607
hat	118	1608
dressed	118	1609
bringing	118	1610
dorothy	118	1611
doctors	118	1612
smith	118	1613
pete	118	1614
spock	118	1615
bright	117	1616
wash	117	1617
expecting	117	1618
cousin	117	1619
sees	117	1620
lines	117	1621
must've	117	1622
answers	117	1623
speech	117	1624
sergeant	117	1625
rent	117	1626
brad	117	1627
friday	116	1628
planning	116	1629
moon	116	1630
further	116	1631
hunt	116	1632
busted	116	1633
somebody's	116	1634
everywhere	115	1635
jealous	115	1636
bodies	115	1637
lemme	115	1638
spare	115	1639
crying	115	1640
base	115	1641
ladies	115	1642
suddenly	115	1643
bite	115	1644
threw	115	1645
escape	115	1646
closer	115	1647
danny	115	1648
helping	114	1649
awhile	114	1650
it'd	114	1651
shower	114	1652
devil	114	1653
belong	114	1654
written	114	1655
susan	114	1656
bottle	114	1657
travel	114	1658
sword	114	1659
sal	114	1660
purpose	113	1661
arms	113	1662
drove	113	1663
stars	113	1664
guest	113	1665
balls	112	1666
bones	112	1667
desert	112	1668
rick	112	1669
assume	112	1670
cards	112	1671
animals	112	1672
joey	111	1673
square	111	1674
zero	111	1675
birds	111	1676
damage	110	1677
total	110	1678
starts	110	1679
flowers	110	1680
bloody	110	1681
itself	110	1682
support	110	1683
something's	110	1684
blew	110	1685
contract	110	1686
faster	110	1687
london	110	1688
butt	110	1689
secretary	110	1690
larry	110	1691
mickey	110	1692
gentleman	109	1693
truly	109	1694
laid	109	1695
indian	109	1696
biggest	109	1697
themselves	109	1698
expected	109	1699
ate	109	1700
coat	108	1701
reasons	108	1702
criminal	108	1703
soft	108	1704
above	108	1705
eighteen	108	1706
language	108	1707
surely	108	1708
picking	108	1709
necessary	108	1710
brains	108	1711
elaine	108	1712
license	108	1713
speed	108	1714
fresh	108	1715
pressure	108	1716
mentioned	108	1717
property	108	1718
jacket	108	1719
nonsense	108	1720
writer	108	1721
allowed	107	1722
ears	107	1723
william	107	1724
according	107	1725
professional	107	1726
national	107	1727
whenever	107	1728
buried	107	1729
serve	107	1730
rain	107	1731
cell	107	1732
watched	107	1733
everybody's	107	1734
mexico	107	1735
pissed	106	1736
babe	106	1737
ours	106	1738
1	106	1739
strength	106	1740
wise	106	1741
apparently	106	1742
nights	106	1743
leaves	106	1744
neighborhood	106	1745
farm	106	1746
justice	106	1747
manager	106	1748
signal	106	1749
ms	105	1750
knife	105	1751
russian	105	1752
followed	105	1753
divorce	105	1754
client	105	1755
garden	105	1756
someplace	105	1757
chinese	105	1758
d'you	105	1759
breaking	105	1760
daniel	105	1761
piss	104	1762
pieces	104	1763
british	104	1764
turning	104	1765
da	104	1766
smoking	104	1767
burned	104	1768
dump	104	1769
bottom	104	1770
storm	104	1771
local	104	1772
easier	104	1773
sunday	104	1774
adam	104	1775
load	104	1776
shame	103	1777
hated	103	1778
strike	103	1779
attorney	103	1780
taylor	103	1781
opened	103	1782
aware	103	1783
incredible	103	1784
letting	103	1785
boring	102	1786
teacher	102	1787
chair	102	1788
tip	102	1789
operation	102	1790
forgotten	102	1791
energy	102	1792
positive	102	1793
federal	102	1794
files	102	1795
map	102	1796
cole	102	1797
shark	102	1798
eighty	102	1799
clarence	102	1800
sonny	102	1801
kane	102	1802
trade	101	1803
naturally	101	1804
whom	101	1805
sight	101	1806
immediately	101	1807
motherfucker	101	1808
obvious	101	1809
center	101	1810
flying	101	1811
downstairs	101	1812
co	101	1813
eggs	101	1814
clark	101	1815
lab	101	1816
pregnant	101	1817
sidney	101	1818
sudden	100	1819
tryin'	100	1820
amy	100	1821
allow	100	1822
benjamin	100	1823
research	100	1824
fan	99	1825
cigarette	99	1826
fortune	99	1827
awake	99	1828
pretend	99	1829
mmm	99	1830
ta	99	1831
meat	99	1832
character	99	1833
should've	99	1834
johnson	99	1835
